description,category,amount
Got Salary of NPR 9055,Transfer,9055
Purchase at Daraz Rs 17643,Shopping,17643
Recharged NTC mobile with NPR 12659,Mobile Topup,12659
Fuel at Shiva Fuel Rs 11552,Transportation,11552
Fuel at Nepal Oil Rs 17645,Transportation,17645
Cleared water dues Rs 6776,Utilities,6776
Cleared water dues Rs 17578,Utilities,17578
Movie tickets at FCube NPR 169,Entertainment,169
Medical bill at Norvic Rs 12374,Healthcare,12374
Paid Rs 18399 to Whitehouse College for tuition,Education,18399
Movie tickets at QFX NPR 9268,Entertainment,9268
Sent Rs 17209 to Isaiah Williams,Transfer,17209
Online shopping 9098,Shopping,9098
Dining at Roadhouse Cafe Rs 2340,Food,2340
Fuel at Sajha Petrol Rs 3226,Transportation,3226
Mobile recharge for NTC NPR 7209,Mobile Topup,7209
Recharged NTC mobile with NPR 2111,Mobile Topup,2111
Purchase at Daraz Rs 5447,Shopping,5447
Education payment to Kathmandu University Rs 16349,Education,16349
Money sent to Henry Huff ₹14112,Transfer,14112
Dining at OR2K Rs 330,Food,330
Spotify subscription Rs 19653,Entertainment,19653
Dining at OR2K Rs 9891,Food,9891
Taxi fare Rs 3427,Transportation,3427
Paid Rs 10274 for online course fees,Education,10274
Public transport pass NPR 18680,Transportation,18680
Online shopping 15701,Shopping,15701
clothes bought for Rs 1591,Shopping,1591
Food order from KFC ₹10858,Food,10858
Fuel at Sajha Petrol Rs 4791,Transportation,4791
Paid Rs 12953 to Kathmandu University for tuition,Education,12953
Public transport pass NPR 3483,Transportation,3483
Medical bill at Norvic Rs 18679,Healthcare,18679
Sent 1199 to Tribhuvan University for course fees,Education,1199
Transfer to LLHP00956081071819 NPR 15539,Transfer,15539
Pharmacy purchase NPR 528,Healthcare,528
Paid Rs 11255 to Whitehouse College for tuition,Education,11255
Purchase at Daraz Rs 753,Shopping,753
Medical bill at Teaching Hospital Rs 18626,Healthcare,18626
Mobile recharge for NTC NPR 5936,Mobile Topup,5936
Paid Rs 19791 to Whitehouse College for tuition,Education,19791
Spent ₹5557 at Pizza Hut,Food,5557
